Processes,Threads,Width,Height,NumSpheres,NumSamples,RenderType,MinTime,MaxTime,AvgTime
7,1,512,512,100,10,row,13.3906,13.3906,13.3906
7,1,512,512,100,10,row,13.7034,13.7034,13.7034
7,1,512,512,100,10,row,11.9461,11.9461,11.9461
7,1,512,512,100,10,row,12.0189,12.0189,12.0189
7,1,512,512,100,10,row,12.2387,12.2387,12.2387
7,1,512,512,100,10,row,12.2012,12.2012,12.2012
7,1,512,512,100,10,row,12.0439,12.0439,12.0439
7,1,512,512,100,10,row,12.2603,12.2603,12.2603
7,2,512,512,100,10,row,10.2513,10.5796,10.4154
7,2,512,512,100,10,row,9.05404,10.6026,9.82832
7,2,512,512,100,10,row,10.6291,11.0525,10.8408
7,2,512,512,100,10,row,10.3047,11.6492,10.977
7,2,512,512,100,10,row,8.22234,13.5704,10.8964
7,2,512,512,100,10,row,8.30997,13.5794,10.9447
7,2,512,512,100,10,row,8.25944,13.5921,10.9258
7,2,512,512,100,10,row,8.88977,10.7038,9.79677
7,2,512,512,100,10,row,8.19424,10.7294,9.46182
7,2,512,512,100,10,row,8.19978,10.8125,9.50612
7,2,512,512,100,10,row,8.27321,11.6888,9.98102
7,2,512,512,100,10,row,10.2396,12.0085,11.1241
7,2,512,512,100,10,row,10.7808,12.0942,11.4375
7,2,512,512,100,10,row,10.0922,12.7823,11.4373
7,2,512,512,100,10,row,9.03259,10.7077,9.87014
7,2,512,512,100,10,row,8.99688,10.5937,9.79529
7,2,512,512,100,10,row,8.38751,11.2195,9.80352
7,2,512,512,100,10,row,8.48913,9.94922,9.21917
7,2,512,512,100,10,row,7.70461,8.77749,8.24105
7,2,512,512,100,10,row,7.36499,8.70684,8.03592
7,4,512,512,100,10,row,5.1115,10.4381,7.44099
7,4,512,512,100,10,row,5.10929,11.4318,7.84844
7,4,512,512,100,10,row,5.11026,11.4922,6.75686
7,4,512,512,100,10,row,4.99591,11.092,8.41862

7,4,512,512,100,10,row,5.081,11.7781,9.51799
7,4,512,512,100,10,row,5.06673,12.3194,9.60453
7,4,512,512,100,10,row,5.22896,6.30029,5.57791
7,4,512,512,100,10,row,5.13348,11.2091,7.59441
7,4,512,512,100,10,row,6.31372,11.845,9.57669
7,4,512,512,100,10,row,6.3172,12.481,9.48559
7,4,512,512,100,10,row,6.37129,12.4902,9.95303
7,4,512,512,100,10,row,6.39548,13.1707,10.2867
7,4,512,512,100,10,row,5.93243,14.0386,9.50229
7,4,512,512,100,10,row,3.15031,12.0559,8.60145
7,4,512,512,100,10,row,4.32184,8.76072,6.31891
7,4,512,512,100,10,row,4.65171,7.53209,6.20837
7,4,512,512,100,10,row,4.74033,8.53354,7.25271
7,4,512,512,100,10,row,4.50184,8.20963,6.62125
7,4,512,512,100,10,row,4.23731,7.68967,6.67302
7,8,512,512,100,10,row,5.49782,10.5863,8.48643
7,8,512,512,100,10,row,5.42884,11.1659,8.22771
